date,mean_consumption,median_consumption,std_consumption,day,holiday
2011-11-23,7.063833333333334,6.246,5.373298713137588,2,0
2011-11-24,8.426043478260869,7.489,6.219455730924758,3,0
2011-11-25,9.350266666666666,8.7385,6.377867003367479,4,0
2011-11-26,10.25525641025641,9.477,6.689566663323561,5,0
2011-11-27,10.946153846153846,9.803,7.351755130717038,6,0
2011-11-28,9.132528301886792,7.069,6.714606190421953,0,0
2011-11-29,9.22267213114754,8.298,6.0752725747391,1,0
2011-11-30,8.80418918918919,7.746,5.902065637184574,2,0
2011-12-01,9.292693181818182,7.428,6.311552410011406,3,0
2011-12-02,10.292747368421052,8.075,7.715937254976376,4,0
2011-12-03,10.9034,9.155,7.272553365486304,5,0
2011-12-04,12.271161904761904,9.954,8.353178831949833,6,0
2011-12-05,10.70595041322314,8.861,7.828366565309393,0,0
2011-12-06,11.8729126984127,10.158,8.792930791511864,1,0
2011-12-07,11.0036301369863,8.8475,8.13845971363954,2,0
2011-12-08,11.617745341614906,9.287,8.539085872679449,3,0
2011-12-09,11.876988764044944,9.251999999999999,8.868037018689359,4,0
2011-12-10,12.761082051282052,11.047,8.95028990853599,5,0
2011-12-11,13.938261538461537,11.068,9.73203341973256,6,0
2011-12-12,12.052914285714285,9.8195,8.589052475287358,0,0
2011-12-13,12.056871559633029,9.7975,8.536170913448919,1,0
2011-12-14,12.572884444444444,9.443,9.737896749893547,2,0
2011-12-15,12.739814049586776,9.797,9.798041404465447,3,0
2011-12-16,13.485115537848607,10.541,11.214860316142941,4,0
2011-12-17,13.534672862453531,10.981,10.20362307675963,5,0
2011-12-18,14.800397769516728,11.88,10.64951940763418,6,0
2011-12-19,13.758528428093646,11.061,10.218474159548329,0,0
2011-12-20,12.697503144654089,9.911000000000001,9.748650366752118,1,0
2011-12-21,12.155216617210682,9.472,9.429544739993155,2,0
2011-12-22,11.839697740112994,9.116,9.361192524190086,3,0
2011-12-23,12.24518956043956,9.9165,9.775544160897324,4,0
2011-12-24,12.9893489010989,10.415,10.32598848164725,5,0
2011-12-25,12.89168131868132,9.814,11.240833820899212,6,0
2011-12-26,10.982368131868132,8.682500000000001,9.12786421128721,0,1
2011-12-27,11.430307692307691,9.174499999999998,9.219805083831897,1,1
2011-12-28,11.756943548387095,8.850999999999999,9.371438426271474,2,0
2011-12-29,12.134620779220779,9.381,9.638586209950633,3,0
2011-12-30,12.346682741116751,10.0405,9.367695634988237,4,0
2011-12-31,12.331743654822336,9.687,9.563235295166079,5,0
2012-01-01,12.367350253807107,9.627500000000001,9.65245440469785,6,0
2012-01-02,12.782192893401016,9.873000000000001,9.586892350220047,0,1
2012-01-03,12.760428927680797,10.146,9.915570748099233,1,0
2012-01-04,12.758861042183623,9.999,9.893703877138396,2,0
2012-01-05,12.86615099009901,10.246,9.826451868908945,3,0
2012-01-06,12.70697290640394,10.357,9.46594147309731,4,0
2012-01-07,12.73517199017199,10.458,9.610784312089164,5,0
2012-01-08,13.388748768472908,10.724,9.86019256321297,6,0
2012-01-09,12.41134068627451,10.001,9.276838538102625,0,0
2012-01-10,11.973723300970875,9.6415,9.203176672610951,1,0
2012-01-11,11.989599514563107,9.701,8.902963235193193,2,0
2012-01-12,12.014274038461538,9.875,8.981696894811371,3,0
2012-01-13,12.458712918660288,9.8805,9.598986953886742,4,0
2012-01-14,13.416509523809525,10.6795,10.50821908763344,5,0
2012-01-15,14.262314285714284,11.0305,11.182884022936113,6,0
2012-01-16,13.003313084112149,10.1595,10.454367430191512,0,0
2012-01-17,13.257262790697673,10.0085,10.688413377571418,1,0
2012-01-18,12.716696551724137,9.551,10.13442948679966,2,0
2012-01-19,12.216862921348314,9.772,9.51554250542809,3,0
2012-01-20,12.746622559652929,9.268,10.746936644248446,4,0
2012-01-21,12.641627906976744,9.799,10.086612780645304,5,0
2012-01-22,13.63076109936575,10.477,11.147001752010762,6,0
2012-01-23,12.567446721311475,9.5085,10.524865349713465,0,0
2012-01-24,12.819850505050505,9.721,10.538414075591172,1,0
2012-01-25,12.45054347826087,9.602,10.190769937346618,2,0
2012-01-26,12.323125,9.532499999999999,9.983045737825831,3,0
2012-01-27,12.40175572519084,9.067499999999999,10.494204423731263,4,0
2012-01-28,13.240287593984961,10.1815,11.004323080219752,5,0
2012-01-29,14.08643796992481,10.624500000000001,11.471962714607086,6,0
2012-01-30,13.400735294117647,9.868500000000001,11.37098010209709,0,0
2012-01-31,13.931051971326164,10.046,12.18176133089822,1,0
2012-02-01,13.81543109540636,10.052,11.835106195844851,2,0
2012-02-02,14.34410102739726,10.1765,12.831933857899799,3,0
2012-02-03,14.504177446102819,10.276,13.00417082863115,4,0
2012-02-04,15.150027914614121,10.906,13.446277372143841,5,0
2012-02-05,15.967711001642035,11.613,13.69779517656901,6,0
2012-02-06,14.048649206349205,10.006499999999999,12.668290103209243,0,0
2012-02-07,13.885420560747665,9.483,12.680513967671784,1,0
2012-02-08,15.212010785824344,10.782,13.494571281191375,2,0
2012-02-09,14.393365853658537,10.2995,13.062076084604328,3,0
2012-02-10,14.67068609865471,10.281,13.385983067587892,4,0
2012-02-11,14.868002976190477,10.367,13.0861953982046,5,0
2012-02-12,15.911037202380953,11.504,14.168513151074668,6,0
2012-02-13,14.336370588235294,10.015,12.847488462868997,0,0
2012-02-14,13.685478832116788,9.959,12.31933468532689,1,0
2012-02-15,13.304919655667145,9.686,11.649017907614628,2,0
2012-02-16,12.592441134751773,9.397,10.875634760981608,3,0
2012-02-17,12.43644350282486,9.2575,10.86168839670299,4,0
2012-02-18,12.953021126760564,9.594,11.000082719312205,5,0
2012-02-19,13.750381690140847,10.548,11.238250246755097,6,0
2012-02-20,13.31615702479339,9.3315,12.007486361783334,0,0
2012-02-21,12.651318860244235,9.158,11.514480620830597,1,0
2012-02-22,12.878107712765956,9.273,11.412863660002463,2,0
2012-02-23,11.609725721784779,8.5795,10.012764500792258,3,0
2012-02-24,11.512768434670118,8.731,9.904935890334917,4,0
2012-02-25,11.757024516129032,8.904,9.703756507389047,5,0
2012-02-26,12.37600129032258,9.552,9.786975372364786,6,0
2012-02-27,12.153468948035487,9.069,10.155989853364172,0,0
2012-02-28,11.54461403508772,8.7685,9.920129678818244,1,0
2012-02-29,11.443168511685117,8.803,9.288399626181983,2,0
2012-03-01,11.176774939172748,8.6085,9.18523701728924,3,0
2012-03-02,11.808949579831932,8.877,9.993520098613756,4,0
2012-03-03,12.130014371257484,9.212,10.416441801802797,5,0
2012-03-04,13.419852694610778,10.599,11.079436651808642,6,0
2012-03-05,12.721670225385528,9.486,11.083762648010723,0,0
2012-03-06,13.040272727272727,9.346,12.025275758351226,1,0
2012-03-07,12.744785714285715,8.985,11.75131462228599,2,0
2012-03-08,12.053050113895216,8.531,10.645333240288986,3,0
2012-03-09,12.151884009009008,8.841000000000001,10.422573006921775,4,0
2012-03-10,11.843163493840985,8.937,9.851432863738932,5,0
2012-03-11,11.96962150055991,9.36,9.3576912975027,6,0
2012-03-12,10.946215148188804,8.211,8.786593620792827,0,0
2012-03-13,10.951265877287407,8.5,9.11651157497702,1,0
2012-03-14,10.938280887011615,8.414,8.955063145154481,2,0
2012-03-15,10.89456378600823,8.0805,9.07610240092153,3,0
2012-03-16,11.25738038038038,8.439,9.503021256392849,4,0
2012-03-17,11.923181094527363,9.357,9.71744606462855,5,0
2012-03-18,12.048774129353234,9.212,9.923641623890385,6,0
2012-03-19,11.005139961389963,8.4295,9.139788604766101,0,0
2012-03-20,10.726534090909091,8.272,8.796882153013222,1,0
2012-03-21,10.357045161290323,7.939,8.478179625854466,2,0
2012-03-22,10.16878170289855,7.9165,8.222649120608521,3,0
2012-03-23,10.094850615114236,7.7255,8.126252185742436,4,0
2012-03-24,10.182729895104895,8.2075,7.778454783132942,5,0
2012-03-25,10.649125,8.498,8.142379346576556,6,0
2012-03-26,9.955288428324698,7.6425,8.007607582645146,0,0
2012-03-27,9.537822374039282,7.506,7.6638303898008955,1,0
2012-03-28,9.540282811176969,7.394,7.54715269351774,2,0
2012-03-29,9.336181741335587,7.406,7.178767180141132,3,0
2012-03-30,9.334660185967879,7.356,7.138361012894947,4,0
2012-03-31,10.345012636899748,8.074,8.143460839068705,5,0
2012-04-01,10.650315656565658,8.5235,8.467199647708844,6,0
2012-04-02,9.846269672131148,7.7170000000000005,7.961973851463256,0,0
2012-04-03,10.104094278807414,7.882,8.068875681061574,1,0
2012-04-04,10.180465981012658,7.9055,8.445213752056443,2,0
2012-04-05,10.552281055900622,7.9625,8.932646497369955,3,0
2012-04-06,10.476474010861132,7.865,9.128298764041695,4,1
2012-04-07,10.233687111801242,7.7365,8.815275365475415,5,0
2012-04-08,10.564902097902099,8.034,8.872111235714936,6,0
2012-04-09,10.53861645962733,8.183,8.591313747543305,0,1
2012-04-10,9.865480974124809,7.5440000000000005,8.122139115100481,1,0
2012-04-11,9.986153789004458,7.7155000000000005,8.016598800210927,2,0
2012-04-12,10.069362518089726,7.5165,8.366912761474847,3,0
2012-04-13,9.986318983768525,7.672,8.329982118837647,4,0
2012-04-14,10.18542270194986,7.9965,8.32739510920566,5,0
2012-04-15,11.07949164345404,8.75,8.85196186286028,6,0
2012-04-16,10.379014814814814,7.931,8.88618106031537,0,0
2012-04-17,10.657865710560625,8.157,9.401797352015217,1,0
2012-04-18,10.721820707070709,8.146,9.191408808746434,2,0
2012-04-19,10.62600736196319,8.0565,9.107433649402893,3,0
2012-04-20,10.213692951015533,7.93,8.699924448977587,4,0
2012-04-21,10.160273907910272,8.0255,8.049432868052694,5,0
2012-04-22,10.633542232722977,8.53,8.13572335844503,6,0
2012-04-23,10.19697818599311,7.9375,8.31829738055893,0,0
2012-04-24,9.979069312465064,7.713,8.245958955504458,1,0
2012-04-25,10.449981441048037,8.0145,8.745060991880125,2,0
2012-04-26,9.860809168443497,7.513999999999999,8.28417654869595,3,0
2012-04-27,9.626110020661157,7.6125,7.64882304758139,4,0
2012-04-28,10.655557948717949,8.449,8.552419500224802,5,0
2012-04-29,11.498184520758585,9.006,9.190914862182286,6,0
2012-04-30,9.293564508156205,7.437,7.112994951543157,0,0
2012-05-01,9.180455417066156,7.378500000000001,7.054065878716536,1,0
2012-05-02,9.256797852474325,7.487,7.237485587409739,2,0
2012-05-03,9.993235965312643,7.809,8.082775333779217,3,0
2012-05-04,9.975372706935122,7.77,8.23934733870537,4,0
2012-05-05,10.154013309671695,7.8759999999999994,8.32950355525253,5,0
2012-05-06,10.593372949002218,8.231,8.812695037200594,6,0
