date,air_temperature_mean,dewpoint_mean,rltv_hum_mean,air_temperature_min,rltv_hum_min,air_temperature_max,prcp_count,day,holiday,mean_consumption,median_consumption,std_consumption
2012-10-09,11.579166666666666,7.975,79.20833333333333,8.9,62.3,14.3,1,1,0,9.556979533360623,7.7105,7.746150915818461
2012-10-10,11.420833333333334,6.095833333333334,70.60000000000001,6.2,52.5,15.3,0,2,0,9.544800530828908,7.6965,7.626984865146052
2012-10-11,12.5375,10.725,88.875,9.0,76.5,15.0,6,3,0,9.911510448366808,8.004,8.004604448273394
2012-10-12,10.945833333333333,6.425,75.22916666666667,5.9,50.9,14.2,2,4,0,9.531795243853283,7.670999999999999,7.68283798064235
2012-10-13,7.587499999999999,5.25,85.9875,3.6,64.4,11.7,2,5,0,10.01985728683733,7.996,8.044403127066522
2012-10-14,6.583333333333333,3.0,80.2625,0.3,50.2,12.7,0,6,0,10.65572828058859,8.554,8.386404475540356
2012-10-15,8.354166666666666,6.033333333333332,86.17916666666667,1.9,64.0,13.2,1,0,0,10.11190476190476,8.036,8.250945768390524
2012-10-16,11.175,6.4125000000000005,74.24166666666666,6.3,45.4,15.3,4,1,0,9.789463956748095,7.859500000000001,7.85491196979808
2012-10-17,13.2125,10.195833333333333,82.49166666666666,8.3,62.5,16.9,6,2,0,9.69448094953122,7.79,7.715083165390295
2012-10-18,13.8875,10.8875,82.61666666666666,11.0,60.6,16.9,4,3,0,9.535742806112324,7.722,7.430753045384561
2012-10-19,12.0625,11.3,95.04583333333332,10.7,87.8,13.5,13,4,0,10.072798855112516,8.08,8.042020874488731
2012-10-20,11.2625,9.983333333333333,92.01666666666668,9.2,76.4,14.0,4,5,0,10.189195699348984,8.303,7.769154398304447
2012-10-21,11.279166666666669,10.045833333333333,92.2125,10.1,85.6,12.5,6,6,0,10.838523283346488,8.7785,8.302066438463289
2012-10-22,13.829166666666666,13.391666666666666,97.14166666666668,12.1,94.4,15.0,1,0,0,10.130984910836762,8.254,7.984508206732509
2012-10-23,13.0875,12.283333333333331,94.86666666666667,12.2,91.8,14.0,0,1,0,9.996618295299395,8.219,7.8130203492978
2012-10-24,14.345833333333331,12.504166666666668,88.90416666666665,13.0,77.4,16.5,0,2,0,9.69412118264929,7.892,7.4541543915389425
2012-10-25,12.3,10.404166666666669,88.50833333333333,9.9,77.0,13.9,0,3,0,9.967709615012575,8.141,7.743993169370838
2012-10-26,7.795833333333333,3.75,75.52083333333333,3.7,68.5,9.9,3,4,0,10.566976153846154,8.395,8.632566930646279
2012-10-27,4.7625,0.8125,75.91250000000001,2.2,61.7,8.3,0,5,0,11.2038225,8.703,9.563699254217155
2012-10-28,5.1625000000000005,3.5375,89.26666666666667,-0.4,79.9,9.4,4,6,0,11.958661923076924,9.318,9.993423402619932
2012-10-29,9.283333333333331,7.395833333333333,88.6875,6.5,71.8,12.5,7,0,0,10.899441538461538,8.6115,8.928620876740956
2012-10-30,6.916666666666667,4.575,86.10833333333333,3.8,59.2,10.6,2,1,0,10.725945758799767,8.422,8.983601140385689
2012-10-31,9.204166666666667,6.125,81.47916666666667,4.3,68.7,13.0,0,2,0,10.745524523946914,8.413,9.170684276675704
2012-11-01,7.241666666666667,4.795833333333333,84.92083333333333,2.8,68.3,11.8,7,3,0,10.711141538461538,8.4185,9.00473996296937
2012-11-02,6.120833333333334,2.3583333333333334,77.675,1.3,52.4,10.9,0,4,0,10.932441153846154,8.437000000000001,9.44308634923937
2012-11-03,4.395833333333333,1.7041666666666666,84.125,0.1,55.9,9.9,0,5,0,11.312407692307692,8.884,9.962470788972835
2012-11-04,4.075,3.0708333333333333,93.06666666666666,-0.1,85.6,8.9,8,6,0,12.533978076923075,9.7655,10.74032232311692
2012-11-05,4.3125,2.033333333333333,86.52083333333333,-0.6,60.7,9.7,0,0,0,11.29393998845932,8.789,9.79092911467954
2012-11-06,4.808333333333334,2.7291666666666665,86.58333333333333,-1.8,67.6,9.9,0,1,0,11.448585,8.8195,10.090929154916616
2012-11-07,7.291666666666667,4.941666666666666,85.42916666666667,2.7,73.1,10.0,0,2,0,11.135891346153846,8.692,9.535384548053017
2012-11-08,9.529166666666669,5.9125000000000005,78.64583333333333,7.1,61.6,12.9,0,3,0,10.833346671796845,8.556999999999999,9.14678341740916
2012-11-09,9.091666666666669,5.854166666666667,80.27499999999999,7.4,72.2,11.6,0,4,0,10.833447970763608,8.505,8.998398016670784
2012-11-10,8.15,6.825,91.43333333333334,2.2,81.2,10.3,4,5,0,11.286591730769231,8.876000000000001,9.185290854323746
2012-11-11,3.5583333333333336,1.8666666666666665,89.58333333333333,-0.8,61.6,11.5,2,6,0,11.92131,9.555,9.701694453543327
2012-11-12,7.641666666666667,7.008333333333333,95.54166666666669,2.3,86.7,11.8,5,0,0,11.317848624735529,8.906,9.805261388012
2012-11-13,12.258333333333333,10.220833333333331,87.77083333333333,9.5,67.3,16.1,2,1,0,10.647620769230768,8.4155,9.49432596126613
